texto,prediccion,score,rules,etiqueta_real,tipo_error,error_magnitud
"No disfruté el festival, la programación fue monótona y poco atractiva.",1,0.7,negation,0,FP,0.7
"La calidad de las presentaciones fue baja, esperaba mucho más.",1,2.3,,0,FP,2.3
Falta de recursos en el colegio afecta la calidad de la educación.,1,1.2,,0,FP,1.2
Los estudiantes no reciben suficiente apoyo en sus estudios.,1,1.2,,0,FP,1.2
El servicio al cliente fue pésimo y no resolvió mi problema.,1,0.3,negation,0,FP,0.3
La obra de teatro superó todas mis expectativas.,0,0.0,,1,FN,0.0
El museo estaba vacío y sin actividades interesantes.,1,2.2,negation,0,FP,2.2
El evento cultural fue aburrido y sin nada especial.,1,2.0,negation;negation,0,FP,2.0
La feria cultural fue decepcionante y sin variedad.,1,2.4,negation,0,FP,2.4
Los profesores están muy capacitados y comprometidos.,0,0.0,,1,FN,0.0
Los profesores no respondieron mis dudas.,1,0.9,negation,0,FP,0.9
"La película que vi el fin de semana fue impresionante, la trama estaba bien desarrollada y los efectos visuales eran espectaculares, me dejó sin palabras.",0,-0.5,negation,1,FN,0.5
"La visita guiada al sitio arqueológico fue educativa y emocionante, el guía explicaba cada detalle con gran entusiasmo y conocimiento.",0,0.0,,1,FN,0.0
"El festival cultural de este año fue bastante decepcionante, la organización fue deficiente y las actividades parecían improvisadas.",1,0.6,,0,FP,0.6
"Visité el museo pero muchas de las exhibiciones estaban cerradas, lo cual fue frustrante, especialmente después de pagar la entrada completa.",1,1.5,"adversative(pero,x1.5)",0,FP,1.5
"La nueva metodología de enseñanza ha logrado que los estudiantes participen más y disfruten del proceso de aprendizaje, es un cambio notable.",0,-0.5,,1,FN,0.5
"La conferencia educativa a la que asistí fue inspiradora, los ponentes eran expertos en su área y brindaron conocimientos muy valiosos.",0,0.0,,1,FN,0.0
"El producto que compré se deshizo al poco tiempo de uso, una decepción que el servicio postventa no mejoró; en lugar de una solución, recibí excusas.",1,1.3,negation,0,FP,1.3
"El producto que compré se deshizo al poco tiempo de uso, una decepción que el servicio postventa no mejoró; en lugar de una solución, recibí excusas.",1,1.3,negation,0,FP,1.3
"La película fue una verdadera pérdida de tiempo, con un guion predecible y actuaciones sin vida; la falta de calidad ciertamente fue evidente.",1,1.2,,0,FP,1.2
"La muestra de arte contemporáneo superó todas mis expectativas, los colores vibrantes y las temáticas sociales transmitían un mensaje profundo y emotivo.",0,0.0,,1,FN,0.0
"El festival cultural fue bastante decepcionante, las actividades no tenían cohesión y parecía que faltaba organización en todo momento.",1,3.4,negation,0,FP,3.4
"La exposición de esculturas modernas me dejó indiferente, no logré conectar con el estilo y la falta de contexto de algunas obras.",1,1.1,,0,FP,1.1
"El evento prometía una experiencia cultural completa, pero resultó ser una presentación monótona sin ningún valor añadido para el público.",1,1.35,"negation;adversative(pero,x1.5)",0,FP,1.35
"El programa de tutorías personalizadas ha sido fundamental para mejorar el rendimiento académico de muchos estudiantes, se sienten más seguros y motivados.",0,0.0,,1,FN,0.0
"La biblioteca digital de la universidad ofrece un amplio acceso a artículos, libros y tesis que enriquecen el proceso educativo de manera notable.",0,0.0,,1,FN,0.0
"El material de estudio proporcionado está desactualizado y ya no es útil para los temas actuales, los estudiantes no logran profundizar en su aprendizaje.",1,1.1,negation,0,FP,1.1
"El método de enseñanza en algunos cursos es obsoleto, los estudiantes pierden interés porque no encuentran relevancia en lo que están aprendiendo.",1,2.2,,0,FP,2.2
Esa felicula fue fantastica.,0,0.0,,1,FN,0.0
"La visita guiada al sitio arqueológico fue educativa y emocionante, el guía explicaba cada detalle con gran entusiasmo y conocimiento.",0,0.0,,1,FN,0.0
"El festival cultural de este año fue bastante decepcionante, la organización fue deficiente y las actividades parecían improvisadas.",1,0.6,,0,FP,0.6
"Visité el museo pero muchas de las exhibiciones estaban cerradas, lo cual fue frustrante, especialmente después de pagar la entrada completa.",1,1.5,"adversative(pero,x1.5)",0,FP,1.5
"La nueva metodología de enseñanza ha logrado que los estudiantes participen más y disfruten del proceso de aprendizaje, es un cambio notable.",0,-0.5,,1,FN,0.5
"La conferencia educativa a la que asistí fue inspiradora, los ponentes eran expertos en su área y brindaron conocimientos muy valiosos. ",0,0.0,,1,FN,0.0
"El libro que leí recientemente me inspiró profundamente, no podía dejar de pensar en sus enseñanzas.",0,0.0,,1,FN,0.0
"La clase de yoga que tomé fue revitalizante, el instructor fue muy profesional y atento.",0,0.0,,1,FN,0.0
"El servicio al cliente fue deficiente, no respondieron mis correos y me sentí ignorado.",1,0.9,negation,0,FP,0.9
"La calidad de los zapatos que compré fue muy baja, se rompieron en poco tiempo.",1,1.2,,0,FP,1.2
"La película que vi fue un verdadero fiasco, no logró captar mi interés en ningún momento.",1,1.1,,0,FP,1.1
"La conferencia sobre historia antigua fue muy interesante, el conferenciante tenía un gran conocimiento sobre el tema.",0,0.0,,1,FN,0.0
"El libro que leí sobre la cultura japonesa fue fascinante, me dio una nueva perspectiva sobre su forma de vida.",0,-0.5,,1,FN,0.5
"La exposición de arte moderno fue confusa y sin sentido, con obras que no tenían una conexión clara entre ellas.",1,1.1,,0,FP,1.1
"El concierto de música clásica fue una decepción, con un mal sonido y artistas que no estaban a la altura de las expectativivas.",1,0.3,negation,0,FP,0.3
"La visita al museo de historia fue decepcionante, con exposiciones anticuadas y sin una actualización en muchos años.",1,2.4,negation,0,FP,2.4
"La exhibición de fotografía de viajes fue decepcionante, con imágenes sin inspiración y sin una historia que contar.",1,1.4,negation,0,FP,1.4
"El programa de tutorías personalizadas ha sido fundamental para mejorar el rendimiento académico, haciendo que los estudiantes se sientan más seguros y motivados.",0,0.0,,1,FN,0.0
"La biblioteca digital de la universidad ofrece un acceso amplio a artículos, libros y tesis que enriquecen notablemente el proceso educativo.",0,0.0,,1,FN,0.0
"El material de estudio proporcionado está desactualizado y ya no es útil para los temas actuales, lo que limita el aprendizaje de los estudiantes.",1,1.1,negation,0,FP,1.1
"El método de enseñanza en algunos cursos es obsoleto, lo que provoca que los estudiantes pierdan interés y no encuentren relevancia en lo que aprenden.",1,2.2,,0,FP,2.2
"La comida en este café es deliciosa, cada plato que probé fue una verdadera delicia.",0,0.0,,1,FN,0.0
"La serie que empecé a ver es adictiva, cada episodio me deja con ganas de más.",0,0.0,,1,FN,0.0
"La clase de cocina fue un desastre, el instructor no sabía explicar bien.",1,1.0,,0,FP,1.0
"La película biográfica sobre el artista fue muy conmovedora, mostrando su lucha y pasión por el arte.",0,0.0,,1,FN,0.0
"La visita al sitio histórico fue una lección de historia viva, con guías expertos que explicaban cada detalle.",0,0.0,,1,FN,0.0
"La exhibición de arte popular fue colorida y alegre, con obras que reflejaban la cultura local.",0,0.0,,1,FN,0.0
"La clase magistral sobre literatura fue muy enriquecedora, con un profesor apasionado y experto en el tema.",0,0.0,,1,FN,0.0
"La exposición de arte contemporáneo fue decepcionante, muchas obras parecían falta de creatividad y sin un tema claro.",1,1.4,negation,0,FP,1.4
"El concierto de música clásica fue un fiasco, el sonido era deficiente y los músicos no estaban bien ensayados.",1,1.0,,0,FP,1.0
"La festividad cultural de este año fue bastante desorganizada, con actividades que no cumplían con las expectativas.",1,1.0,,0,FP,1.0
El documental que vi sobre la historia del arte fue aburrido y no aportó nada nuevo al tema.,1,0.5,negation,0,FP,0.5
"La visita al museo fue frustrante, muchas exhibiciones estaban cerradas y no había información suficiente.",1,1.0,,0,FP,1.0
"Los talleres extracurriculares han fomentado el desarrollo de habilidades prácticas y creativas en los estudiantes, complementando su educación formal.",0,0.0,,1,FN,0.0
"La participación en proyectos comunitarios ha permitido a los estudiantes aplicar sus conocimientos en situaciones reales, promoviendo el aprendizaje significativo.",0,0.0,,1,FN,0.0
La falta de apoyo emocional y psicológico en las escuelas ha dejado a muchos estudiantes sin la ayuda que necesitan para enfrentar sus desafíos.,1,1.2,,0,FP,1.2
La escasez de profesores calificados en ciertas áreas ha limitado la calidad de la educación que reciben los estudiantes.,1,1.2,,0,FP,1.2
La falta de comunicación entre padres y docentes ha dificultado el seguimiento del progreso académico de los estudiantes.,1,1.3,,0,FP,1.3
"La experiencia en el parque de atracciones fue inolvidable, ¡me divertí como un niño!",0,0.0,,1,FN,0.0
"La comida en la boda fue exquisita, todos los invitados quedaron encantados.",0,0.0,,1,FN,0.0
"La decoración de la tienda era confusa y poco atractiva, no me invitó a quedarme.",1,1.2,negation,0,FP,1.2
"La calidad del servicio en el restaurante fue muy baja, tardaron mucho en atendernos.",1,1.2,,0,FP,1.2
"La feria del libro fue un paraíso para los amantes de la lectura, con autores y editores presentando sus últimas obras.",0,0.0,,1,FN,0.0
"La visita al teatro antiguo fue una experiencia única, con una representación teatral que reflejaba la cultura clásica.",0,0.0,,1,FN,0.0
"La exposición de arte religioso fue muy interesante, con obras que reflejaban la fe y la espiritualidad de diferentes culturas.",0,0.0,,1,FN,0.0
"La clase de danza folclórica fue una experiencia divertida y alegre, con música y movimientos que reflejaban la cultura local.",0,0.0,,1,FN,0.0
"El festival de cine no cumplió con lo prometido, muchas películas eran de baja calidad y mal producidas.",1,1.2,,0,FP,1.2
"La clase de pintura fue decepcionante, el instructor no ofreció retroalimentación útil y el ambiente era tenso.",1,1.4,negation,0,FP,1.4
Las actividades de aprendizaje basadas en proyectos han motivado a los estudiantes a trabajar en equipo y desarrollar habilidades de resolución de problemas.,0,-0.2,,1,FN,0.2
La atención individualizada que reciben algunos estudiantes ha marcado una diferencia notable en su autoestima y rendimiento académico.,0,0.0,,1,FN,0.0
Las conferencias y charlas con expertos en diversas áreas han inspirado a los estudiantes a pensar críticamente y a ampliar su visión del mundo.,0,0.0,,1,FN,0.0
La falta de recursos tecnológicos en las aulas ha limitado el acceso de los estudiantes a herramientas de aprendizaje modernas.,1,1.1,,0,FP,1.1
La desmotivación de los estudiantes es evidente debido a la falta de reconocimiento y apoyo por parte de los docentes.,1,1.2,,0,FP,1.2
"La escasez de actividades extracurriculares ha limitado el desarrollo integral de los estudiantes, dejándolos sin oportunidades para explorar sus intereses.",1,1.1,,0,FP,1.1
"La app que descargué es muy útil, me ha facilitado la organización de mis tareas.",0,0.0,,1,FN,0.0
"La experiencia en el gimnasio ha sido muy positiva, los entrenadores son motivadores.",0,0.0,,1,FN,0.0
"La atención en la clínica fue fría y poco profesional, no me sentí cómodo.",1,1.3,,0,FP,1.3
"La exhibición de arte naíf fue colorida y alegre, con obras que reflejaban la inocencia y la creatividad de los artistas.",0,0.0,,1,FN,0.0
"La clase de música clásica fue una experiencia enriquecedora, con un profesor que explicaba cada detalle de las obras interpretadas.",0,0.0,,1,FN,0.0
"La clase de cocina fue un desastre, los ingredientes no estaban bien preparados y los platos no tenían sabor.",1,1.0,,0,FP,1.0
"La exhibición de arte popular fue confusa, con obras que no parecían tener un hilo conductor.",1,1.2,negation,0,FP,1.2
La utilización de recursos multimedia en las clases ha hecho que el aprendizaje sea más atractivo y accesible para todos los estudiantes.,0,0.0,,1,FN,0.0
La conexión con empresas locales para prácticas profesionales ha permitido a los estudiantes ganar experiencia laboral valiosa mientras estudian.,0,0.0,,1,FN,0.0
La burocracia en el sistema educativo ha dificultado la implementación de cambios necesarios para mejorar la calidad de la educación.,1,1.2,,0,FP,1.2
La falta de programas de inclusión ha dejado a estudiantes con necesidades especiales sin el apoyo adecuado para su aprendizaje.,1,0.1,negation,0,FP,0.1
La charla motivacional que escuché me llenó de energía y ganas de seguir adelante.,0,0.0,,1,FN,0.0
"La obra de teatro fue decepcionante, los actores no estaban bien preparados.",1,2.4,negation,0,FP,2.4
"El festival al que asistí fue un caos, la organización fue muy deficiente.",1,1.0,,0,FP,1.0
"La proyección de cortometrajes independientes fue refrescante, con historias originales y creativas.",0,0.0,,1,FN,0.0
"La exhibición de arte naíf fue colorida y alegre, mostrando la simplicidad y belleza de la vida cotidiana.",0,0.0,,1,FN,0.0
"La clase de danza que tomé fue decepcionante, el instructor no tenía la paciencia necesaria para enseñar a principiantes.",1,1.4,negation,0,FP,1.4
"El festival de música fue una gran decepción, la calidad de los artistas era muy baja y el sonido era deficiente.",1,0.9,,0,FP,0.9
"La película que vi sobre la historia de la música fue aburrida, no logró mantener mi interés en ningún momento.",1,2.4,negation,0,FP,2.4
"La visita al museo de ciencia fue frustrante, las exhibiciones estaban desactualizadas y poco interactivas, lo que hizo que la experiencia fuera monótona.",1,1.0,,0,FP,1.0
La cultura de retroalimentación constante entre docentes y estudiantes ha creado un ambiente de aprendizaje más abierto y constructivo.,0,0.0,,1,FN,0.0
"Las actividades de voluntariado han fomentado la responsabilidad social en los estudiantes, enseñándoles la importancia de contribuir a su comunidad.",0,0.0,,1,FN,0.0
La falta de incentivos para la lectura ha resultado en un bajo interés por los libros entre los estudiantes.,1,1.1,,0,FP,1.1
La falta de espacios seguros y acogedores en la escuela ha hecho que algunos estudiantes se sientan aislados y no apoyados.,1,1.3,,0,FP,1.3
